# Synthetic backyard observations for Kalman-filter input
# Observer  lat=  40.0000  lon=   0.0000  elev=   0.0
# Span 2025-01-01  days= 365
# Noise: systematic bias + Gaussian random
# Biases hidden (realistic unknown calibration error)
# Average error < 1 arcmin from true position
#
# Columns:
#  1  JD_UTC          Julian date (UTC)
#  2  body             S=Sun  M=Moon
#  3  event            R=rise  S=set  I=intermediate
#  4  alt_obs (deg)    measured altitude
#  5  az_obs  (deg)    measured azimuth (N=0 E=90)
#  6  alt_true (deg)   true altitude
#  7  az_true  (deg)   true azimuth
#  8  dist     (AU)    geocentric distance
 2460676.810380  S  R     0.00000   120.63156     0.00000   120.63156   9.8334888E-01
 2460677.194827  S  S    -0.00000   239.41482    -0.00000   239.41482   9.8334417E-01
 2460676.833333  S  I     5.28581   126.10619     5.28581   126.10619   9.8334465E-01
 2460676.916667  S  I    20.75381   149.61503    20.75381   149.61503   9.8333239E-01
 2460677.000000  S  I    27.03603   179.04948    27.03603   179.04948   9.8332708E-01
 2460677.083333  S  I    21.46191   208.73617    21.46191   208.73617   9.8332986E-01
 2460677.166667  S  I     6.43618   232.64458     6.43618   232.64458   9.8333971E-01
 2460676.875075  M  R    -0.00000   124.00735    -0.00000   124.00735   2.5430389E-03
 2460677.259168  M  S     0.00000   237.99461     0.00000   237.99461   2.5349832E-03
 2460676.916667  M  I     8.71120   133.85550     8.71120   133.85550   2.5356845E-03
 2460677.000000  M  I    21.51867   157.82010    21.51867   157.82010   2.5247513E-03
 2460677.083333  M  I    24.90520   186.48389    24.90520   186.48389   2.5206922E-03
 2460677.166667  M  I    17.45400   213.89210    17.45400   213.89210   2.5241029E-03
 2460677.250000  M  I     2.01640   235.87936     2.01640   235.87936   2.5336677E-03
 2460677.810445  S  R    -0.00000   120.50749    -0.00000   120.50749   9.8333781E-01
 2460678.195421  S  S    -0.00000   239.54302    -0.00000   239.54302   9.8333457E-01
 2460677.833333  S  I     5.27910   125.96585     5.27910   125.96585   9.8333368E-01
 2460677.916667  S  I    20.78966   149.47004    20.78966   149.47004   9.8332171E-01
 2460678.000000  S  I    27.12474   178.92703    27.12474   178.92703   9.8331668E-01
 2460678.083333  S  I    21.58825   208.66917    21.58825   208.66917   9.8331975E-01
 2460678.166667  S  I     6.57594   232.62430     6.57594   232.62430   9.8332990E-01
 2460677.899822  M  R    -0.00000   118.11960    -0.00000   118.11960   2.5227128E-03
 2460678.310362  M  S     0.00000   244.67771     0.00000   244.67771   2.5156249E-03
 2460677.916667  M  I     3.93801   121.94030     3.93801   121.94030   2.5194793E-03
 2460678.000000  M  I    20.55848   144.10464    20.55848   144.10464   2.5059775E-03
 2460678.083333  M  I    29.23125   172.86297    29.23125   172.86297   2.4987039E-03
 2460678.166667  M  I    26.35853   203.87259    26.35853   203.87259   2.4991496E-03
 2460678.250000  M  I    13.30023   229.72379    13.30023   229.72379   2.5068245E-03
 2460678.810483  S  R     0.00000   120.37289     0.00000   120.37289   9.8333061E-01
 2460679.196032  S  S     0.00000   239.68172     0.00000   239.68172   9.8332889E-01
 2460678.833333  S  I     5.27878   125.82139     5.27878   125.82139   9.8332657E-01
